City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,pisco,-13.7,-76.2167,294.18,83,99,5.14,PE,1685062367
148,tabuk,17.4189,121.4443,301.34,75,52,1.34,PH,1685062433
149,atbasar,51.8,68.3333,287.77,70,6,3.64,KZ,1685062433
150,castro,-24.7911,-50.0119,286.41,84,0,2.28,BR,1685062433
151,aksarka,66.5606,67.7975,289.31,64,70,6.63,RU,1685062433
152,burnie,-41.0667,145.9167,283.96,88,100,6.45,AU,1685062433
153,bella vista,36.4295,-94.2316,299.44,62,0,3.09,US,1685062434
154,vredendal,-31.6683,18.5012,283.5,76,11,1.74,ZA,1685062434
155,bayir,37.2687,28.2167,284.44,85,0,1.15,TR,1685062434
156,shingu,33.7333,135.9833,293.4,72,100,2.08,JP,1685062434
157,acarau,-2.8856,-40.12,298.93,84,5,4.54,BR,1685062434
158,haines junction,60.7522,-137.5108,287.12,44,100,5.14,CA,1685062434
159,mecca,21.4267,39.8261,302.76,54,9,1.41,SA,1685062301
160,isangel,-19.55,169.2667,297.14,63,78,5.32,VU,1685062435
161,naron,43.5167,-8.1528,288.48,75,0,6.3,ES,1685062435
162,iranshahr,27.2025,60.6848,302.34,24,0,2.06,IR,1685062435
163,ferrol,43.4832,-8.2369,288.3,76,0,6.56,ES,1685062435
164,kozan,37.4552,35.8157,290.32,82,1,1.28,TR,1685062435
165,miles city,46.4083,-105.8406,297.69,60,0,3.09,US,1685062290
166,severo-kurilsk,50.6789,156.125,278.26,84,65,4.14,RU,1685062435
167,monroe,43.1501,-77.6831,284.24,70,0,0.65,US,1685062431
168,bignona,12.8103,-16.2264,301.17,62,100,4.51,SN,1685062436
169,brazzaville,-4.2658,15.2832,296.97,88,100,1.0,CG,1685062436
170,carutapera,-1.195,-46.02,297.8,92,6,2.84,BR,1685062436
171,venafro,41.4834,14.0451,289.01,68,100,3.49,IT,1685062436
172,kapaa,22.0752,-159.319,301.14,70,40,6.17,US,1685062436
173,pemangkat,1.1667,108.9667,301.3,77,29,2.07,ID,1685062437
174,kovdor,67.5662,30.4758,278.04,67,96,3.11,RU,1685062437
175,rawson,-43.3002,-65.1023,287.02,45,100,7.41,AR,1685062437
176,cuamba,-14.8031,36.5372,287.92,83,0,0.61,MZ,1685062437
177,phangnga,8.4509,98.5298,301.17,77,86,2.16,TH,1685062437
178,vega de alatorre,20.0333,-96.6333,299.7,80,100,2.18,MX,1685062437
179,saint george,37.1041,-113.5841,304.48,18,0,5.14,US,1685062243
180,piacabucu,-10.4056,-36.4344,297.54,90,28,3.91,BR,1685062438
181,sorland,67.667,12.6934,277.07,80,100,11.73,NO,1685062438
182,novovarshavka,54.1721,74.6946,284.36,58,4,4.87,RU,1685062438
183,port lincoln,-34.7333,135.8667,286.87,66,100,5.91,AU,1685062438
184,honningsvag,70.9821,25.9704,279.01,56,100,6.69,NO,1685062438
185,itoman,26.1247,127.6694,299.16,69,20,6.17,JP,1685062438
186,peruibe,-24.32,-46.9983,293.21,94,17,1.55,BR,1685062439
187,hobyo,5.3505,48.5268,300.8,76,18,7.07,SO,1685062439
188,mount gambier,-37.8333,140.7667,285.41,70,100,4.98,AU,1685062439
